;type_of_equipment;type_of_station;station;country;year_of_manufacture;power;number_of_turbines;sum_power
1170;Гидравлические турбины;ГЭС;Братская ГЭС;Россия;1960;230.0;18.0;4140.0
1172;Гидравлические турбины;ГЭС;Санмынься ГЭС;Китай;1960;154.0;2.0;308.0
1174;Гидравлические турбины;ГЭС;Храм 2 ГЭС;Грузия;1960;56.5;2.0;113.0
1176;Гидравлические турбины;ГЭС;Дыхов ГЭС;Польша;1960;26.5;1.0;26.5
1177;Гидравлические турбины;ГЭС;Хиракуд-II ГЭС;Индия;1960;25.4;1.0;25.4
1178;Гидравлические турбины;ГЭС;Гагра ГЭС;Грузия;1960;0.8;1.0;0.8
1181;Гидравлические турбины;ГЭС;Бухтарминская ГЭС;Россия;1959;77.0;8.0;616.0
1183;Гидравлические турбины;ГЭС;Фархадская ГЭС;Узбекистан;1959;30.0;2.0;60.0
1184;Гидравлические турбины;ГЭС;Орточальская ГЭС;Грузия;1958;6.3;3.0;18.9
1186;Гидравлические турбины;ГЭС;Волжская ГЭС;Россия;1957;126.0;1.0;126.0
1189;Гидравлические турбины;ГЭС;Камская ГЭС;Россия;1957;21.8;1.0;21.8
1190;Гидравлические турбины;ГЭС;Нуха ГЭС;Азербайджан;1957;0.83;2.0;1.66
1194;Гидравлические турбины;ГЭС;Гизельдон ГЭС;Грузия;1955;8.1;3.0;24.299999999999997
1195;Гидравлические турбины;ГЭС;Волжская ГЭС;Россия;1954;126.0;20.0;2520.0
1199;Гидравлические турбины;ГЭС;Горьковская ГЭС;Россия;1953;59.0;8.0;472.0
1200;Гидравлические турбины;ГЭС;Гюмушская ГЭС;Армения;1953;57.0;2.0;114.0
1203;Гидравлические турбины;ГЭС;Княжегубская ГЭС;Россия;1953;37.0;4.0;148.0
1206;Гидравлические турбины;ГЭС;Ортачальская ГЭС;Грузия;1953;6.3;3.0;18.9
1208;Гидравлические турбины;ГЭС;Фын-Мань ГЭС;Китай;1952;85.0;6.0;510.0
1209;Гидравлические турбины;ГЭС;Мингечаурская ГЭС;Азербайджан;1952;74.5;1.0;74.5
1212;Гидравлические турбины;ГЭС;Мингечаурская ГЭС;Азербайджан;1952;61.5;3.0;184.5
1217;Гидравлические турбины;ГЭС;Нарвская ГЭС;Россия;1952;48.0;3.0;144.0
1220;Гидравлические турбины;ГЭС;Комсомольская ГЭС;Узбекистан;1952;21.0;2.0;42.0
1221;Гидравлические турбины;ГЭС;Тавакская ГЭС;Узбекистан;1952;19.0;2.0;38.0
1223;Гидравлические турбины;ГЭС;Сходня ГЭС;Россия;1952;2.5;1.0;2.5
1225;Гидравлические турбины;ГЭС;Усть-Каменогорская ГЭС;Казахстан;1951;85.0;4.0;340.0
1229;Гидравлические турбины;ГЭС;Цимлянская ГЭС;Россия;1951;41.5;3.0;124.5
1235;Гидравлические турбины;ГЭС;Мингечаурская ГЭС;Азербайджан;1950;61.5;2.0;123.0
1240;Гидравлические турбины;ГЭС;Свирь-II ГЭС;Россия;1950;46.0;4.0;184.0
1242;Гидравлические турбины;ГЭС;Дыхов ГЭС;Польша;1950;26.1;2.0;52.2
1252;Паровые турбины;ГРЭС;Ириклинская ГРЭС-3;Россия;;;;
1253;Паровые турбины;ГРЭС;Ириклинская ГРЭС-3;Россия;;;;
